Age Range,Experience,Industry,Job Title,Education,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
18-21,1,Aerospace,Computer Systems Engineer,Bachelor's Degree,United States,68000.0,140.0,0.0,Female
18-21,1,Marketing,Manager,Bachelor's Degree,United States,75000.0,7500.0,0.0,Female
18-21,1,Recruitment/Staffing,It Risk Specialist,Bachelor's Degree,United States,45000.0,5000.0,0.0,Female
18-21,4,Agriculture,Customer Service,Some college,Canada,22173.0,8130.1,3695.5,Female
18-21,1,Agriculture,Administrative Assistant,Bachelor's Degree,United States,36400.0,0.0,0.0,Female
18-21,6,Agriculture,Personal Assistant,Some college,United States,36000.0,0.0,0.0,Male
18-21,3,Agriculture,It Risk Specialist,Bachelor's Degree,United States,48000.0,17500.0,0.0,Male
18-21,1,Agriculture,Marketing,Some college,United States,26000.0,0.0,0.0,Female
18-21,4,Information Technology/It,Manager,High School Diploma,United States,71000.0,0.0,0.0,Male
18-21,1,Gasoline Stations,Intern,Bachelor's Degree,United States,55000.0,0.0,0.0,Female
18-21,1,Health Care,Oral Pathologist,Bachelor's Degree,Australia,49170.0,0.0,0.0,Female
18-21,1,Information Technology/It,Data Analyst,Bachelor's Degree,United States,55000.0,0.0,0.0,Female
18-21,1,Animal Care,Dog Trainer,High School Diploma,United States,60000.0,0.0,0.0,Female
18-21,2,Animation,Comic Artist,Trade School,Canada,34589.88,0.0,0.0,Female
18-21,2,Apparel,Property Manager,Some college,United States,52000.0,0.0,0.0,Female
18-21,1,Dance,Training And Development Managers,Bachelor's Degree,United States,55000.0,12000.0,0.0,Female
18-21,4,Aquatics,Other,Some college,Canada,22173.0,0.0,0.0,Female
18-21,3,Aquatics,Other,Some college,United States,10000.0,0.0,0.0,Male
18-21,2,Agriculture,Delimber Operator,Trade School,Canada,41507.86,0.0,0.0,Male
18-21,1,Architecture,Legal Assistant,Bachelor's Degree,United Kingdom,26775.0,0.0,0.0,Female
18-21,2,Architecture,Technician,Associate Degree,United States,45000.0,0.0,0.0,Female
18-21,2,Architecture,Apparel Designer,Bachelor's Degree,Canada,29564.0,0.0,3695.5,Male
18-21,1,Architecture,Intern,Master's Degree,United States,37444.0,1600.0,0.0,Male
18-21,1,Asset Management,Analyst,Bachelor's Degree,United States,80000.0,20000.0,10000.0,Female
18-21,1,Auditing,Accountant,Bachelor's Degree,Canada,42867.8,0.0,1478.2,Female
18-21,1,Auditing,First Mate,Master's Degree,United States,70000.0,0.0,0.0,Female
18-21,5,Automotive,Computer Operations Manager,Associate Degree,United States,30000.0,0.0,0.0,Male
18-21,3,Automotive,Ceo,Master's Degree,United States,150000.0,0.0,0.0,Male
18-21,2,Automotive,Engineer,Associate Degree,United States,63500.0,0.0,0.0,Female
18-21,1,Automotive,Data Analyst,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
18-21,1,Automotive,Technology,Bachelor's Degree,United States,80000.0,0.0,6000.0,Male
18-21,1,Automotive,Community Health Advisor,Bachelor's Degree,United States,36000.0,0.0,0.0,Female
18-21,1,Automotive,Coo,Bachelor's Degree,United States,37000.0,0.0,0.0,Female
18-21,1,Automotive,Mechanical Engineers,Bachelor's Degree,United States,82000.0,8200.0,0.0,Female
18-21,2,Automotive,Community Service Director,High School Diploma,United States,35000.0,0.0,0.0,Male
18-21,1,Automotive,Intern,Some college,United States,45000.0,0.0,0.0,Male
18-21,2,Automotive,Analyst,Some college,Canada,38802.75,0.0,0.0,Male
18-21,2,Automotive,Mechanical Engineers,Bachelor's Degree,United States,71000.0,0.0,0.0,Male
18-21,2,Automotive,Technician,Trade School,United States,86000.0,0.0,0.0,Male
18-21,4,Automotive,Community Health Advisor,Some college,United States,65000.0,1000.0,0.0,Male
18-21,3,Automotive,Community Health Advisor,Some college,United States,75000.0,1500.0,0.0,Male
18-21,2,Automotive,Engineer,Some college,United States,60000.0,2000.0,0.0,Male
18-21,3,Automotive,Hog Buyer,Bachelor's Degree,United States,70000.0,5000.0,0.0,Female
18-21,1,Automotive,New Car Salesperson,High School Diploma,Australia,30813.2,16390.0,0.0,Female
18-21,4,Automotive,Travel Service Consultant,Some college,United States,105000.0,0.0,0.0,Male
18-21,1,Automotive,Consultant,Some college,United States,130000.0,0.0,0.0,Male
18-21,3,Automotive,Engineer,Some college,United States,80000.0,10000.0,0.0,Male
18-21,4,Automotive,Business,Some college,Canada,60606.2,0.0,0.0,Male
18-21,2,Aviation,Other,Bachelor's Degree,United States,281351.2,0.0,0.0,Male
18-21,1,Aviation,Customer Service,High School Diploma,United States,31000.0,400.0,0.0,Female
18-21,1,Aviation,Aviation Maintenance Instructor,Bachelor's Degree,United States,30000.0,0.0,0.0,Male
18-21,2,Aviation,Technician,High School Diploma,United States,52000.0,0.0,0.0,Male
18-21,1,Aviation,Technician,Trade School,United States,58240.0,0.0,0.0,Male
18-21,1,Aviation,Other,Associate Degree,Turkey,2664.58,0.0,0.0,Male
18-21,1,Aviation,Technician,Trade School,United States,58240.0,0.0,0.0,Male
18-21,1,Aviation,Aviation Maintenance Instructor,Trade School,United States,101000.0,5000.0,0.0,Male
18-21,4,Aviation,Airline Pilot,High School Diploma,United States,170000.0,0.0,0.0,Male
18-21,2,Library,Wedding Coordinator,High School Diploma,United States,34080.0,0.0,0.0,Female
18-21,1,Banking,Customer Service,High School Diploma,Sri Lanka,108.57,0.0,0.0,Female
18-21,3,Banking,Banker,Some college,United States,70000.0,0.0,0.0,Male
18-21,1,Banking,Bank Teller,High School Diploma,United States,34320.0,0.0,500.0,Female
18-21,2,Banking,Customer Service,No Schooling,Canada,32527.05,0.0,0.0,Male
18-21,1,Banking,Other,Associate Degree,United States,29000.0,1000.0,0.0,Male
18-21,3,Banking,Engineer,High School Diploma,United States,82000.0,0.0,3000.0,Female
18-21,1,Banking,Analyst,Bachelor's Degree,United States,65000.0,0.0,5000.0,Female
18-21,1,Banking,Program Writer,Bachelor's Degree,United States,65000.0,5000.0,5000.0,Female
18-21,1,Banking,Analyst,Bachelor's Degree,United Kingdom,47812.5,637.5,6375.0,Male
18-21,1,Banking,Auditor,Bachelor's Degree,United States,55620.0,3000.0,7500.0,Female
18-21,1,Banking,Corporate,Bachelor's Degree,United States,70000.0,5000.0,7500.0,Male
18-21,1,Banking,Clinical Laboratory Technologists And Technicians,Bachelor's Degree,United States,80000.0,0.0,10000.0,Female
18-21,1,Banking,Analyst,Bachelor's Degree,United States,80000.0,0.0,10000.0,Male
18-21,1,Banking,Analyst,Bachelor's Degree,United States,100000.0,10000.0,10000.0,Male
18-21,1,Banking,Analyst,Bachelor's Degree,United States,85000.0,0.0,10000.0,Female
18-21,1,Banking,Banker,Associate Degree,United States,19645.6,0.0,0.0,Female
18-21,2,Banking,Tellers,Associate Degree,United States,36000.0,0.0,0.0,Female
18-21,2,Banking,Bank Teller,Some college,United States,37000.0,0.0,0.0,Female
18-21,1,Banking,Manager,Bachelor's Degree,Netherlands,46818.4,0.0,0.0,Female
18-21,1,Banking,Installment Loan Collector,Some college,United States,50000.0,0.0,0.0,Female
18-21,1,Banking,Community Service Organization Director,Bachelor's Degree,Australia,36058.0,0.0,0.0,Female
18-21,1,Banking,Analyst,Bachelor's Degree,Australia,36713.6,0.0,0.0,Female
18-21,1,Banking,Analyst,Bachelor's Degree,United States,92000.0,0.0,0.0,Female
18-21,1,Banking,Tellers,High School Diploma,United States,45000.0,0.0,0.0,Female
18-21,1,Banking,Emergency Services Program Coordinator,Bachelor's Degree,United States,68000.0,0.03,0.0,Female
18-21,1,Banking,Bank Teller,High School Diploma,United States,11000.0,150.0,0.0,Female
18-21,2,Banking,Tellers,No Schooling,Canada,13303.8,295.64,0.0,Female
18-21,1,Banking,Conference Center Manager,Some college,United States,30000.0,960.0,0.0,Female
18-21,1,Banking,Other,Some college,United States,21600.0,1000.0,0.0,Female
18-21,1,Banking,Banker,Some college,United States,33000.0,1000.0,0.0,Female
18-21,3,Banking,Account Assistant,Associate Degree,United States,38500.0,1000.0,0.0,Female
18-21,4,Banking,Banker,High School Diploma,United States,42000.0,1000.0,0.0,Female
18-21,1,Banking,Communications,Bachelor's Degree,United States,57800.0,1700.0,0.0,Female
18-21,2,Banking,Tellers,Master's Degree,United States,42000.0,2800.0,0.0,Female
18-21,2,Banking,Home Mortgage Disclosure Act Specialist,Some college,United States,42000.0,4000.0,0.0,Female
18-21,2,Banking,Business Analyst,Bachelor's Degree,Canada,44346.0,2956.4,0.0,Female
18-21,1,Banking,Financial Auditor,Bachelor's Degree,Canada,32150.85,3178.13,0.0,Female
18-21,1,Banking,Collections Representative,Some college,United States,37440.0,4400.0,0.0,Female
18-21,1,Banking,Analyst,Bachelor's Degree,United States,75000.0,20000.0,0.0,Female
18-21,4,Banking,Banker,No Schooling,United States,100000.0,100000.0,0.0,Female
18-21,1,Banking,Business Analyst,Bachelor's Degree,Canada,33259.5,0.0,0.0,Male
18-21,1,Banking,Product Manager,Bachelor's Degree,United States,74500.0,0.0,0.0,Male
18-21,1,Banking,Tellers,High School Diploma,Canada,18477.5,739.1,0.0,Male
18-21,1,Banking,Accountant,Bachelor's Degree,United States,51800.0,2000.0,0.0,Male
18-21,1,Banking,Analyst,Bachelor's Degree,United States,85000.0,0.0,10000.0,Male
18-21,3,Banking,Other,Some college,United States,30000.0,0.0,0.0,Female
18-21,1,Banking,Analyst,Bachelor's Degree,United States,61000.0,500.0,0.0,Female
18-21,1,Banking,Tellers,Some college,United States,30000.0,2000.0,0.0,Female
18-21,3,Banking,Banker,High School Diploma,United States,50000.0,5000.0,0.0,Male
18-21,1,Banking,Analyst,Bachelor's Degree,United States,75000.0,0.0,0.0,Male
18-21,1,Banking,Banker,Associate Degree,United States,41600.0,5000.0,0.0,Female
18-21,1,Banking,Banker,Bachelor's Degree,United States,35000.0,0.0,1000.0,Male
18-21,1,Banking,Analyst,Bachelor's Degree,United States,187200.0,18.0,0.0,Female
18-21,1,Banking,Software Engineer,Bachelor's Degree,United States,115000.0,0.0,10000.0,Female
18-21,2,Banking,Installment Loan Collector,Some college,United States,42000.0,0.0,0.0,Male
18-21,1,Banking,Analyst,Bachelor's Degree,United States,50000.0,5000.0,0.0,Female
18-21,2,Banking,Manager,Some college,Australia,44580.8,263399.76,0.0,Male
18-21,3,Social Assistance,Barista,Some college,United States,15000.0,200.0,0.0,Male
18-21,2,Beauty/Cosmetics,Funeral Home Makeup Artist,High School Diploma,United States,50000.0,0.0,0.0,Female
18-21,3,Beauty/Cosmetics,Therapist,High School Diploma,Australia,36290.08,0.0,0.0,Female
18-21,1,Beauty/Cosmetics,Ceo,High School Diploma,United States,68000.0,0.0,0.0,Female
18-21,1,Beauty/Cosmetics,Marketing,High School Diploma,Singapore,20559.24,1713.27,0.0,Female
18-21,1,Beauty/Cosmetics,Administrative Assistant,Trade School,United States,25000.0,0.0,0.0,Female
18-21,1,Beauty/Cosmetics,Intern,Bachelor's Degree,United States,40000.0,0.0,0.0,Female
18-21,2,Beauty/Cosmetics,Community Health Education Coordinator,Bachelor's Degree,United States,40000.0,0.0,0.0,Female
18-21,2,Beauty/Cosmetics,Other,Trade School,United States,100000.0,0.0,0.0,Female
18-21,2,Beauty/Cosmetics,Esthetician,High School Diploma,United States,34000.0,0.0,0.0,Female
18-21,3,Beauty/Cosmetics,Community Health Advisor,Bachelor's Degree,United States,18000.0,0.0,0.0,Female
18-21,2,Beauty/Cosmetics,Marketing,Bachelor's Degree,United States,53000.0,5000.0,0.0,Female
18-21,1,Beauty/Cosmetics,Marketing,Trade School,United States,31200.0,0.0,0.0,Female
18-21,1,Health Care,Technician,Some college,United States,39000.0,1000.0,100.0,Female
18-21,1,Biotech,Hr Clerk,Bachelor's Degree,United States,62400.0,0.07,0.0,Male
18-21,1,Pharmacy,Industrial Engineers,Bachelor's Degree,United States,80000.0,8000.0,0.0,Female
18-21,3,Biology Research,Manager,Some college,United States,18000.0,0.0,0.0,Female
18-21,1,Biology Research,Research Assistant,Some college,United States,42000.0,0.0,0.0,Female
18-21,1,Biomedical,Crime Lab Technician,Associate Degree,Canada,26607.6,0.0,0.0,Female
18-21,2,Pharmacy,Human Resource,Bachelor's Degree,United States,70000.0,10000.0,10000.0,Female
18-21,1,Biotech,Engineer,Bachelor's Degree,United States,68000.0,0.0,0.0,Female
18-21,2,Biotech,Research,Bachelor's Degree,United States,64000.0,0.0,0.0,Female
18-21,3,Biotech,Research,Bachelor's Degree,United States,57500.0,0.0,0.0,Male
18-21,3,Gaming,Project Manager,Bachelor's Degree,United States,95000.0,10000.0,15000.0,Male
18-21,1,Library,Kitchen And Bath Designer,High School Diploma,United States,52000.0,0.0,0.0,Male
18-21,1,Postal Service,Account Assistant,High School Diploma,Philippines,3443.23,178.0,0.0,Female
18-21,1,Broadcasting,Game Show Host,Bachelor's Degree,United States,46000.0,0.0,0.0,Female
18-21,2,Broadcasting,Band Scroll Saw Operator,Some college,United States,14000.0,0.0,0.0,Female
18-21,3,Library,Adult Literacy Teaching Aide,High School Diploma,United States,18000.0,0.0,0.0,Female
18-21,1,Business,Consultant,Bachelor's Degree,United States,75000.0,0.0,5000.0,Female
18-21,1,Business,Intern,Some college,United States,15600.0,0.0,0.0,Female
18-21,1,Business,Community Health Education Coordinator,Bachelor's Degree,United States,60000.0,0.0,0.0,Female
18-21,1,Business,General Contractor,Bachelor's Degree,United States,104000.0,0.0,0.0,Female
18-21,5,Business,Executive Assistant,Associate Degree,United States,33500.0,500.0,0.0,Female
18-21,2,Business,Actuarial Associate,High School Diploma,Canada,28085.8,2217.3,0.0,Male
18-21,1,Business,Consultant,Master's Degree,United States,85000.0,16000.0,5000.0,Female
18-21,2,Business,Intern,High School Diploma,United States,20000.0,0.0,0.0,Female
18-21,1,Business,Banker,Bachelor's Degree,United States,33000.0,0.0,0.0,Female
18-21,1,Business,Small Package And Bundle Sorter Clerk,Some college,United States,50000.0,0.0,0.0,Female
18-21,9,Business,Ceo,Bachelor's Degree,United States,850000.0,5000.0,0.0,Male
18-21,1,Business,Analyst,Bachelor's Degree,United States,65000.0,0.0,0.0,Female
18-21,1,Business,Intern,Some college,United States,54000.0,0.0,0.0,Female
18-21,3,Business,Manager,Bachelor's Degree,United States,60000.0,0.0,5000.0,Female
18-21,2,Renewable Energy,Electroplating Sales Representative,Some college,United States,60000.0,0.0,0.0,Male
18-21,2,Clean Energy,Family Service Center Director,High School Diploma,United States,28000.0,0.0,0.0,Female
18-21,5,Trade,Job Analyst,No Schooling,Australia,57692.8,0.0,0.0,Male
18-21,1,Warehousng,General Manager,Bachelor's Degree,United States,38000.0,0.0,0.0,Female
18-21,4,Analytics,Manager,High School Diploma,United States,43200.0,0.0,0.0,Female
18-21,3,Automotive,Coo,Some college,United States,24000.0,0.0,0.0,Female
18-21,1,Automotive,Time Clerk,Some college,United States,38000.0,0.0,0.0,Female
18-21,1,Automotive,Computer Help Desk Representative,High School Diploma,United States,33600.0,9600.0,0.0,Female
18-21,3,Automotive,Car Salesman,High School Diploma,United States,100000.0,20000.0,0.0,Female
18-21,2,Automotive,Community Health Advisor,High School Diploma,United States,150000.0,20000.0,0.0,Male
18-21,1,Automotive,Manufacturing,Some college,United States,60000.0,0.0,0.0,Male
18-21,1,Automotive,Car Salesman,Some college,United States,100000.0,0.0,0.0,Female
18-21,1,Automotive,Car Salesman,Bachelor's Degree,United States,24000.0,27000.0,0.0,Female
18-21,1,Automotive,Student Development Advisor,High School Diploma,United States,29000.0,500.0,0.0,Male
18-21,4,Education,Nanny,Some college,United States,30000.0,2.0,0.0,Female
18-21,4,Casino/Gambling,Cashiers,Some college,United States,30000.0,0.0,0.0,Female
18-21,2,Casino/Gambling,Other,No Schooling,United Kingdom,36975.0,0.0,0.0,Non-Binary
18-21,1,Casino/Gambling,Table Games Supervisor,High School Diploma,United States,40000.0,1000.0,0.0,Male
18-21,2,Banking,Fiberglass Ski Maker,High School Diploma,United States,25350.0,0.0,0.0,Female
18-21,1,Engineering,Director Of Student Services,Some college,Canada,46261.75,0.0,0.0,Female
18-21,1,Military,Analytical Chemist,Bachelor's Degree,United States,53000.0,5000.0,0.0,Female
18-21,1,Childcare,Nanny,Some college,United States,23000.0,0.0,0.0,Female
18-21,5,Childcare,Nanny,Some college,United States,40000.0,1000.0,0.0,Female
18-21,2,Childcare,Professor,Associate Degree,United States,31200.0,0.0,0.0,Male
18-21,1,Childcare,Nanny,High School Diploma,United States,41000.0,3000.0,0.0,Female
18-21,2,Childcare,Teachers Assistant,High School Diploma,United States,11750.0,0.0,0.0,Female
18-21,4,Childcare,Nanny,Bachelor's Degree,United States,46000.0,0.0,0.0,Female
18-21,6,Childcare,Budget Officer,Bachelor's Degree,Australia,34091.2,0.0,0.0,Female
18-21,10,Childcare,Nanny,Some college,United States,52000.0,0.0,0.0,Female
18-21,4,Childcare,Nanny,Associate Degree,United States,62000.0,0.0,0.0,Female
18-21,6,Childcare,Manager,Some college,United States,50000.0,0.0,0.0,Female
18-21,4,Childcare,Nurse,Some college,United States,75000.0,0.0,0.0,Female
18-21,1,Childcare,Nanny,Some college,United States,35000.0,500.0,0.0,Female
18-21,4,Childcare,Teacher,Bachelor's Degree,United States,31000.0,0.0,0.0,Female
18-21,1,Childcare,Nanny,Some college,United States,34000.0,0.0,0.0,Female
18-21,3,Childcare,Nanny,Some college,United States,40000.0,0.0,0.0,Female
18-21,5,Childcare,Director,Bachelor's Degree,United States,37440.0,100.0,0.0,Female
18-21,3,Childcare,Nanny,Bachelor's Degree,United States,75000.0,500.0,0.0,Female
18-21,2,Childcare,Camp Counselor,Some college,Canada,28085.8,0.0,0.0,Female
18-21,1,Construction,911 Operator,High School Diploma,Australia,59004.0,0.0,0.0,Female
18-21,2,Engineering,Engineer,Bachelor's Degree,United States,72000.0,0.0,1800.0,Female
18-21,1,Engineering,Analyst,Bachelor's Degree,United States,70000.0,5000.0,4000.0,Male
18-21,2,Engineering,Other,Bachelor's Degree,United States,44800.0,0.0,0.0,Female
18-21,1,Engineering,Alcohol And Drug Counselor,Some college,Canada,37694.1,0.0,0.0,Male
18-21,1,Engineering,Account Coordinator,Trade School,Canada,41389.6,0.0,0.0,Male
18-21,1,Engineering,Engineer,Bachelor's Degree,United States,68000.0,0.0,2500.0,Female
18-21,1,Engineering,Engineer,Bachelor's Degree,Canada,31781.3,0.0,0.0,Female
18-21,1,Engineering,Engineer,Master's Degree,United States,65000.0,0.0,0.0,Female
18-21,2,Technical Services,Home Lighting Adviser,High School Diploma,United Kingdom,44252.7,0.0,0.0,Female
18-21,1,Clean Energy,Bus Cleaner,No Schooling,United States,57600.0,0.0,0.0,Other
18-21,1,Event Planning,Cleaning And Maintenance Worker,High School Diploma,Australia,45236.4,655.6,0.0,Female
18-21,1,Sales,Training And Development Managers,Master's Degree,United States,50000.0,25000.0,2000.0,Female
18-21,1,Federal Governenment,Barista,High School Diploma,United States,23400.0,0.0,0.0,Female
18-21,2,Federal Governenment,Barista,High School Diploma,United States,27040.0,0.0,0.0,Female
18-21,2,Federal Governenment,Barista,High School Diploma,United States,21000.0,0.0,0.0,Male
18-21,4,Marketing,Dog Trainer,Some college,United States,16000.0,0.0,0.0,Female
18-21,2,Esg,Director Of Student Services,Some college,United States,12000.0,0.0,0.0,Female
18-21,1,E-Commerce,Community Service Director,High School Diploma,United States,32057.0,0.0,0.0,Male
18-21,1,Banking,Computer Customer Support Specialist,Bachelor's Degree,United States,57200.0,0.0,0.0,Female
